[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001664s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001796s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.004932s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000281s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | SQL: SELECT `id`,`username`,`answer`,`adopt`,`ask`,`point`,`exp`,`logintime`,`loginip`,`registime`,`lock` FROM `hd_user` ORDER BY registime DESC LIMIT 0,20   [ RunTime:0.000273s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001841s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001941s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025646s ]
[ 2014-08-12T01:33:49+08:00 ] /wenda/Admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025737s ]
