[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003122s ]
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001465s ]
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001665s ]
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.010909s ]
[ 2014-08-12T01:31:43+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = '天涯' ) LIMIT 1   [ RunTime:0.000567s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001072s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001205s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000964s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.003079s ]
[ 2014-08-12T01:32:02+08:00 ] /wenda/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = 'tianya888' ) LIMIT 1   [ RunTime:0.000237s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001523s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001632s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.003039s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` = 0 ) LIMIT 15   [ RunTime:0.000312s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | SQL: SELECT * FROM `hd_ask` WHERE ( `solve` = 0 ) AND ( `reward` > 0 ) LIMIT 15   [ RunTime:0.000208s ]
[ 2014-08-12T01:32:03+08:00 ] /wenda/ | INFO: Tag[ view_template ] --START--
